Nome,Time/Jogador,Posição
Sperma ,memphis depay/corinthians,ARTILHEIRO / CLUBE
Sperma ,Corinthians, [1º]
Sperma ,Grêmio, [2º]
Sperma ,Palmeiras, [3º]
Sperma ,Flamengo, [4º]
Sperma ,Internacional, [5º]
Sperma ,Fluminense, [6º]
Sperma ,Sport, [17º]
Sperma ,Juventude, [18º]
Sperma ,Mirassol, [19º]
Sperma ,Vitória, [20º]
Zerole,Pedro - Flamengo,ARTILHEIRO / CLUBE
Zerole,Flamengo, [1º]
Zerole,Internacional, [2º]
Zerole,Palmeiras, [3º]
Zerole,Corinthians, [4º]
Zerole,Atlético Mineiro, [5º]
Zerole,São Paulo, [6º]
Zerole,Vasco da Gama, [17º]
Zerole,Ceará, [18º]
Zerole,Red Bull Bragantino, [19º]
Zerole,Mirassol, [20º]
Zika,Yuri alberto,ARTILHEIRO / CLUBE
Zika,Flamengo, [1º]
Zika,Atlético Mineiro, [2º]
Zika,Palmeiras, [3º]
Zika,Corinthians, [4º]
Zika,Internacional, [5º]
Zika,Bahia, [6º]
Zika,Ceará, [17º]
Zika,Juventude, [18º]
Zika,Mirassol, [19º]
Zika,Sport, [20º]
